,actual_price
Shampoo shampoo,-0.03357378589865929
Double oven,-0.03508381865708466
Fast wifi \u2013 433 Mbps,-0.0358388350362973
Fast wifi \u2013 421 Mbps,-0.03583883503629732
Shared backyard,-0.03631275352054621
EV charger - level 2,-0.036847273560719464
Central heating,-0.03684846012966442
Window AC unit,-0.037026028420294274
Shared hot tub,-0.037152169908878326
Wolf stove,-0.0373488677947227
HDTV with Netflix,-0.03845434950900476
Head and Shoulders conditioner,-0.0388589005531481
Head and Shoulders body soap,-0.0388589005531481
Housekeeping - included with your stay,-0.03885890055314811
NuWave induction stove,-0.03885890055314812
Ninja Convection Air Fryer Oven stainless steel double oven,-0.03885890055314812
Yamaha sound system with aux,-0.038858900553148126
HDTV with Amazon Prime Video,-0.04011187802445571
Dove body soap,-0.04011187802445587
Cleaning products,-0.04040141694757477
Stainless steel double oven,-0.04125033442460858
Paid washer,-0.0426339824492115
Shared pool - available seasonally,-0.04326151404279832
Fast wifi \u2013 149 Mbps,-0.04338899882842418
Children\u2019s books and toys for ages 2-5 years old and 5-10 years old,-0.04338899882842422
HDTV with Apple TV,-0.04338899882842422
Sound system with Bluetooth and aux,-0.04387209779224479
Samsung stainless steel single oven,-0.04414401520763693
DVD player,-0.04433055412314481
Keurig coffee machine,-0.04549076762856623
Outdoor shower,-0.04579503008214742
River view,-0.046493861159881134
Hotpoint refrigerator,-0.04700315432401105
Fast wifi \u2013 65 Mbps,-0.04716408072448764
Paid parking garage off premises,-0.047537674364184226
Indoor fireplace: wood-burning,-0.04753767436418429
Bread maker,-0.04780474284369934
neighbourhood_cleansed_FOURTEENTH WARD,-0.04860343729545332
Dryer \u2013 In building,-0.04867866396624474
Lockbox,-0.04954545773692569
LG refrigerator,-0.04967575452487726
Fast wifi \u2013 368 Mbps,-0.05018414624133845
Shared BBQ grill: gas,-0.05018414624133847
Nespresso,-0.05018414624133847
HDTV,-0.05021027456505047
Free driveway parking on premises,-0.05032945490200385
Kitchenette,-0.05127931464539693
review_scores_cleanliness,-0.05135998744740245
Beach essentials,-0.05395191484626319
LG stainless steel electric stove,-0.05395922813740189
Fast wifi \u2013 364 Mbps,-0.05395922813740189
Suave and other comparable brands  body soap,-0.05395922813740191
Bikes,-0.05435915126279003
HDTV with Hulu,-0.05471424451661457
neighbourhood_cleansed_FIFTH WARD,-0.05498150524879835
room_type_Shared room,-0.05502095492660972
review_scores_rating,-0.05820552511040643
Hot tub,-0.05872875687551724
longitude,-0.05952316276845492
Coffee maker: pour-over coffee,-0.06009982016305023
Noise decibel monitors on property,-0.06050575939634105
Generic body soap,-0.06150939192952881
Non specific  conditioner,-0.06150939192952881
Non specific  shampoo,-0.06150939192952881
review_scores_accuracy,-0.061617178389520334
neighbourhood_cleansed_SEVENTH WARD,-0.06295907142686001
Head and Shoulders shampoo,-0.06303875552920833
Books and reading material,-0.06334997823555191
review_scores_checkin,-0.0649377751728239
BBQ grill: charcoal,-0.066780395810421
review_scores_communication,-0.06697118637484761
Fire TV,-0.0681591954056534
latitude,-0.06848104170918332
host_response_time_within a day,-0.06860287108766618
review_scores_value,-0.0694543200935579
neighbourhood_cleansed_THIRD WARD,-0.0701692897402238
reviews_per_month,-0.07222887782951107
Fast wifi \u2013 95 Mbps,-0.07283463761771913
TV with Netflix,-0.07402237652006237
host_response_time_within a few hours,-0.07622968326823389
review_scores_location,-0.07654002857175116
open 24 hours,-0.07713326421763046
Free street parking,-0.07823734174822787
Electric stove,-0.07853839479173402
Breakfast,-0.08012005057373556
Nonspecific  body soap,-0.0817469569352718
Nonspecific  shampoo,-0.0817469569352718
Nonspecific  conditioner,-0.0817469569352718
Shared backyard \u2013 Fully fenced,-0.08282202547854484
neighbourhood_cleansed_ELEVENTH WARD,-0.08457219196354869
Private living room,-0.09246898065219734
Shared patio or balcony,-0.09689828944845881
Clothing storage: dresser,-0.0992487825405491
Backyard,-0.10316006136838408
Shared hot tub - available all year,-0.10766924951391389
Trash compactor,-0.1086924187199308
neighbourhood_cleansed_NINTH WARD,-0.11739055739114039
number_of_reviews,-0.12625078187325156
Host greets you,-0.14215397699463064
TV with standard cable,-0.16847051763564097
room_type_Private room,-0.35451413721947334
Lock on bedroom door,-0.3664430599003298
Dove conditioner,
Dove shampoo,
Mini golf,
Private hot tub,
Private outdoor pool - available seasonally,
Rad body soap,
